f1,f2,f3,f4,f5,label
0.159850087808874,0.9171064109554607,0.2394899403223506,0.1542347180389971,0.8906405870808444,0
0.2792028207947531,0.0602797463373679,0.1134542011042238,0.4990581142086172,0.8033757014465858,0
0.1260490159103733,0.7786411956629141,0.973393575640717,0.2367310671627526,0.6688227927446583,1
0.6762270300257256,0.7201315982380107,0.0947381654870765,0.7509616057696474,0.105193897671561,0
0.4155597292592785,0.4639600992718733,0.388314664890047,0.3413249784880445,0.8935307184185022,0
0.2928099263418818,0.7098023025769474,0.2956814046506535,0.2452018110201198,0.5186123849274296,0
0.2539159100283519,0.557349384326994,0.0972146855148423,0.7708683783630643,0.8271997465148581,0
0.3263794510489463,0.244717477292279,0.2813818574578026,0.5100345132334299,0.5127404998010208,0
0.3060013008382948,0.516488952736843,0.6196405654437898,0.6684035445692605,0.8989151937134249,0
0.4104337680392255,0.5465033061591359,0.1912927997778678,0.1571774472064985,0.4094320695986362,0
0.0511008136780416,0.32709419459021,0.5628991258236096,0.5190876929294953,0.6683254652649808,0
0.7942842066648698,0.4686798469644555,0.3857619843479581,0.8790791820434122,0.433514842564103,1
0.3051565273111607,0.541147071781832,0.7816337681563315,0.5351467448905636,0.7238564978969426,1
0.6568503445360103,0.2194366068716848,0.1389170152184834,0.3265542440830171,0.5183225512823989,0
0.569989245439575,0.7552935785526216,0.7803293496866264,0.8534119354692016,0.8351096383660962,1
0.2513653281877026,0.2286402392643876,0.4703294927743984,0.2449603920281849,0.1132394649586425,0
0.6649186664220108,0.794077017042645,0.8124559677234996,0.9328591917202762,0.9221647856068016,1
0.8455581975945876,0.2893987163890836,0.740559895268548,0.3772808471136126,0.8570130149333058,1
0.112501928806486,0.1522545475671642,0.8780861401008458,0.8773069890265633,0.5303237023684374,1
0.3953591066332989,0.4901168029212334,0.3542803982085061,0.7414992052311745,0.6981850172001525,0
0.0516787392466943,0.0078888506670705,0.6530927015012992,0.7605648346001537,0.4840284851887589,0
0.6403972588820726,0.0236811831159224,0.0274128483793008,0.8015374680504184,0.945159722433482,0
0.4723596160996235,0.6760379200077893,0.3089202158935582,0.0071758469888847,0.353242074235408,0
0.8228670636310912,0.192688568454125,0.9378844768104384,0.5457573089315159,0.392901808540902,1
